영화,내 별점(y),평균별점,평가자수,등급,장르,국가,상영시간,년도
기다리다 미쳐,4.0,2.17996,6618.0,15세 관람가,로맨스/멜로,한국,108.0,2007.0
키친,3.0,2.70387,31719.0,15세 관람가,로맨스/멜로,한국,102.0,2009.0
백만장자의 첫사랑,3.0,2.26912,19647.0,12세 관람가,로맨스/멜로,한국,116.0,2006.0
슬픔보다 더 슬픈 이야기,1.0,3.26909,46292.0,15세 관람가,로맨스/멜로,한국,105.0,2009.0
시월애,4.0,3.40057,67790.0,12세 관람가,로맨스/멜로,한국,94.0,2000.0
...ing,3.0,2.98247,58451.0,12세 관람가,로맨스/멜로,한국,110.0,2003.0
클로저,4.0,3.70706,93707.0,청소년 관람불가,로맨스/멜로,미국,103.0,2004.0
"다만, 널 사랑하고 있어",3.0,3.59537,145519.0,12세 관람가,로맨스/멜로,일본,116.0,2006.0
너는 내 운명,3.0,3.70567,219474.0,청소년 관람불가,로맨스/멜로,한국,121.0,2005.0
"지금, 만나러 갑니다",3.0,3.8818,230279.0,12세 관람가,로맨스/멜로,일본,118.0,2004.0
아이 인사이드,3.0,3.41171,11774.0,15세 관람가,스릴러,미국,93.0,2003.0
더 재킷,3.0,3.45044,25270.0,15세 관람가,스릴러,"미국, 영국, 독일",102.0,2005.0
10억,2.0,2.56288,150671.0,15세 관람가,스릴러,한국,114.0,2009.0
데스 노트,1.0,3.04751,238688.0,12세 관람가,스릴러,일본,126.0,2006.0
디스터비아,3.0,3.31497,79485.0,12세 관람가,스릴러,미국,104.0,2007.0
바닐라 스카이,5.0,3.68957,104088.0,청소년 관람불가,스릴러,미국,135.0,2001.0
눈먼 자들의 도시,3.0,3.41917,125683.0,청소년 관람불가,스릴러,"미국, 캐나다, 일본",120.0,2008.0
식스 센스,3.0,4.12837,316793.0,12세 관람가,스릴러,미국,107.0,1999.0
프레스티지,3.0,3.77823,108911.0,15세 관람가,스릴러,"영국, 미국",130.0,2006.0
더 게임,2.0,3.2152,176926.0,15세 관람가,스릴러,한국,116.0,2007.0
데스 노트 - 라스트 네임,1.0,2.95679,206844.0,12세 관람가,스릴러,"미국, 일본",139.0,2006.0
폰 부스,4.0,3.77328,212731.0,12세 관람가,스릴러,미국,81.0,2002.0
설국열차,3.0,3.75864,463096.0,15세 관람가,SF,한국,125.0,2013.0
13층,3.0,3.7336,45307.0,12세 관람가,SF,"독일, 미국",98.0,1999.0
