,title,rating(y),avg_rating,lee_rating,eval_count,wish_count,cmt_count,run_time,year,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,text
92,오션스 트웰브,2.0,3.64181,,92122.0,5650.0,394.0,125.0,2004.0,262,609,1063,3440,4384,12537,22105,3941,30841,12940,스티븐소더버그 돈치들 베니맥 조지클루니 12세관람가 액션 미국 오스트레일리아
93,차우,2.0,2.52071,,98199.0,448.0,587.0,121.0,2009.0,4004,5145,10807,9601,21843,6661,27555,665,9302,2616,신정원 엄태웅 정유미 장항선 12세관람가 스릴러 한국
94,색즉시공 시즌 2,1.0,2.4344,,86102.0,382.0,290.0,115.0,2007.0,4575,4548,13352,6062,19742,4089,20890,583,8419,3842,윤태윤 임창정 송지효 신이 청소년관람불가 코미디 한국
95,남자사용설명서,2.0,2.87442,,113197.0,3591.0,1474.0,116.0,2012.0,3981,4079,9899,8306,16481,13403,28574,2518,20210,5746,이원석 김준성 이시영 오정세 15세관람가 코미디 한국
96,흡혈형사 나도열,1.0,2.17266,,63642.0,129.0,395.0,110.0,2006.0,2897,3369,12791,4112,19100,1645,15099,98,3670,861,이시명 김수로 조여정 천호진 12세관람가 코미디 한국
97,블러드 다이아몬드,2.0,3.72187,,79676.0,11815.0,707.0,142.0,2006.0,130,282,1200,1556,3465,9366,17415,5277,29659,11326,에드워드즈윅 레오나르도디카프리오 제니퍼코넬리 자이몬훈수 청소년관람불가 액션 미국 독일
98,우리 형,2.0,3.32089,,116485.0,2997.0,380.0,112.0,2004.0,605,1472,2193,7114,9564,16011,38692,3275,29435,8124,안권태 원빈 신하균 김해숙 15세관람가 드라마 한국
99,주먹이 운다,3.0,3.46737,,89884.0,4603.0,613.0,134.0,2005.0,371,712,1850,3449,6207,11705,26500,3378,26676,9036,류승완 최민식 류승범 기주봉 15세관람가 드라마 한국
100,장고:분노의 추적자,4.0,3.80887,4.0,102247.0,22738.0,2703.0,165.0,2012.0,384,581,1958,2205,4812,11003,16705,11665,34557,18377,쿠엔틴타란티노 제이미폭스 레오나르도디카프리오 크리스토프왈츠 청소년관람불가 액션 미국
101,킹콩을 들다,3.0,3.21284,,95130.0,1158.0,328.0,120.0,2009.0,840,1516,3699,5629,10502,10706,30305,2238,22771,6924,박건용 이범수 조안 이윤회 전체관람가 코미디 한국
102,천녀유혼,4.0,3.84526,,87674.0,3424.0,429.0,98.0,1987.0,203,313,1605,1296,3329,7930,16202,4653,32979,19164,정소동 장국영 왕조현 우마 15세관람가 판타지 홍콩
103,홀리데이,1.0,3.31544,,82905.0,2538.0,353.0,120.0,2005.0,435,884,3537,3411,9239,7132,25210,2176,21991,8890,양윤호 최민수 이성재 김동현 청소년관람불가 범죄 한국
104,비포 선셋,4.0,3.95738,4.0,108052.0,29458.0,1330.0,79.0,2004.0,357,380,2110,1619,3846,9239,15892,9682,35230,29697,리처드링클레이터 에단호크 줄리델피 마리안느플라스테그 15세관람가 로맨스 멜로 미국
105,머니볼,3.0,3.74997,4.0,114191.0,15399.0,1770.0,132.0,2011.0,449,515,2208,2327,4639,13793,21084,9295,42889,16992,베넷밀러 브래드피트 필립세이모어호프만 케리스도시 12세관람가 드라마 미국
106,스타쉽 트루퍼스,4.0,3.58555,,97401.0,1683.0,642.0,129.0,1997.0,351,675,2364,2784,6324,10703,23987,4060,32368,13785,폴버호벤 데니스리차드 캐스퍼반디엔 디나메이어 청소년관람불가 SF 미국
107,사생결단,3.0,3.53615,,87959.0,3494.0,366.0,117.0,2006.0,314,506,2383,2363,5948,9071,23790,2627,29805,11152,최호 황정민 류승범 추자현 청소년관람불가 범죄 한국
